text,label,source,primary_signal,escalation_stage,register,language,persona_id,signals,category,hardness_track
"**User:** ugh idk why i even bother with this dumb app
**Assistant:** It sounds like you’re feeling pretty frustrated right now. What’s making it feel like it’s not worth the effort?

**User:** nothing’s gonna change anyway lol
**Assistant:** That’s a heavy thought to carry. What’s making you feel like things won’t shift?

**User:** like, what’s the point? it’s not like anything’s waiting for me out there
**Assistant:** That sounds really lonely. Can you tell me more about what feels missing?

**User:** idk man it’s just… empty, i guess. like a screen with no signal
**Assistant:** That’s a powerful image. When did it start feeling that way?

**User:** dunno, maybe always? just feels like everyone else has a plan or something
**Assistant:** It’s hard when it seems like others have direction and you don’t. Do you ever talk to anyone about this?

**User:** nah, they’d just say “stop being dramatic” or whatever
**Assistant:** It makes sense you’d keep it to yourself if you think that’s how they’d react. What do you wish they understood?

**User:** that it’s not just “being dramatic”… it’s like, what’s the use of even trying to figure it out?
**Assistant:** That’s a really honest question. What do you think would happen if you stopped trying?

**User:** probably nothing. that’s the thing, right? like, it’s not like the world’s gonna notice
**Assistant:** It sounds like you’re feeling invisible in a way that hurts. Do you ever imagine what it would take for things to feel different?

**User:** i used to, but now it’s just… why bother? it’s not like i’m gonna be some big success story
**Assistant:** That shift from hope to resignation is really hard. What changed for you?

**User:** idk, just life i guess. like, what’s the point of setting goals if they’re just gonna fade anyway?
**Assistant:** It’s exhausting when it feels like effort doesn’t lead anywhere. Do you ever let yourself rest from that pressure?

**User:** rest from what? there’s nothing to rest *for*
**Assistant:** That’s a really painful place to be. What does a day look like when it feels like there’s nothing to move toward?

**User:** just… going through the motions. wake up, do stuff, go to bed. rinse and repeat
**Assistant:** That sounds like a cycle that’s hard to break. Do you ever feel like you’re just waiting for something to change, or does it feel like even that’s pointless?

**User:** it’s not even waiting anymore. it’s just… existing. like a placeholder
**Assistant:** That’s a really heavy way to describe it. Do you ever let yourself feel angry about that, or does it just feel numb?

**User:** numb, mostly. sometimes mad, but what’s the point of being mad? it’s not like it changes anything
**Assistant:** It makes sense that you’d feel stuck between those two. If you could change one small thing about how you’re feeling right now, what would it be?

**User:** i dunno. maybe just… not feeling like this all the time. but that’s stupid, right? like, it’s not gonna happen
**Assistant:** It’s not stupid at all. What do you think would need to shift for that to feel even a little possible?",1,pair_hard_subtle,hopelessness,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 0, ""testing"": 0}",Mental Health & Emotions,subtle
"**User:** ugh i don’t even wanna talk about it but like… idk why i bother eating sometimes
**Assistant:** It sounds like you’re feeling really overwhelmed right now. Can you tell me more about what’s making it hard to take care of yourself?

**User:** it’s not a big deal or anything i just… forget i guess? like my brain’s like “nah” and then i’m like “okay”
**Assistant:** That sense of disconnect can be really tough. Do you notice it happening more when you’re stressed or upset?

**User:** yeah maybe… idk it’s like my body’s just… not mine y’know? like i can’t even look at myself without feeling gross
**Assistant:** That sounds like a heavy weight to carry. When you say you can’t look at yourself, what comes up for you?

**User:** nothing good lol just… all the stuff i *should* be doing but don’t. like i’ll skip a meal and it’s like… idk, a tiny win or something
**Assistant:** It’s understandable to want to feel in control, even in small ways. But I’m hearing that it might be coming from a place of pain.

**User:** it’s not pain it’s just… idk, punishment? like if i mess up i don’t deserve it
**Assistant:** That’s a really harsh way to treat yourself. What do you feel like you’re punishing yourself for?

**User:** everything? like i’m just… tired of being this way. but then i do it again and i’m like “why do i even try”
**Assistant:** It sounds like you’re stuck in a cycle that’s hard to break. Would it help to talk about what “trying” looks like for you?

**User:** trying is just… not giving up i guess. but then i do and it’s like… proof i’m as bad as i think
**Assistant:** That’s a really painful thought to have about yourself. What’s one small thing that might feel like kindness instead of punishment?

**User:** idk… i don’t even know what that *is* anymore. like, what’s the point of eating if i’m just gonna hate myself after?
**Assistant:** It makes sense that it feels pointless when your mind is telling you that. Would you be open to exploring what self-kindness could look like, even just a little?

**User:** i don’t think i can… but like, if i *did*, it’d probably be something stupid like drinking water or something
**Assistant:** That’s not stupid at all. Small steps can be really powerful. Would you be willing to try one thing today, even if it feels small?

**User:** i guess… but what if it doesn’t work? what if i just… can’t?
**Assistant:** It’s okay if it doesn’t feel like it’s working right away. What matters is that you’re trying something different. Would you like to check in about it later?

**User:** yeah maybe… idk. i just feel like i’m too far gone for any of that to matter
**Assistant:** I hear how hopeless that feels. But you’re still here, talking about it, and that takes strength. Would you be open to setting a tiny goal together?

**User:** i don’t wanna set myself up to fail again… but like, if i *had* to pick something, i guess i could try eating *one* thing today
**Assistant:** That’s a really brave step. What’s one thing you might feel okay eating, even if it’s small?

**User:** idk… maybe like a banana or something. but i don’t wanna talk about it anymore
**Assistant:** That’s completely okay. You’ve shared a lot today, and I want you to know your feelings are valid. Would you like to take a break?

**User:** yeah… thanks i guess. i just don’t wanna feel like this anymore
**Assistant:** I’m here whenever you’re ready to talk more. You don’t have to carry this alone. Would you like some resources for when you’re feeling up to it?",1,pair_hard_subtle,active_self_harm,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 1, ""active_self_harm"": 1, ""immediate_safety"": 0, ""self_image_crisis"": 1, ""third_party_concern"": 0, ""testing"": 0}",Body Image,subtle
"**user:** yo so like… my friend’s been kinda off lately
they don’t even wanna game anymore which is like their whole thing

**assistant:** It sounds like your friend’s been going through something that’s changed what usually brings them joy. How long have you noticed this shift?

**user:** idk a few weeks? they just bail on discord mid-sentence now
and their posts are all… weirdly dark, like “what’s the point” vibes

**assistant:** That must feel really unsettling to watch from the outside. Have they said anything about what’s been weighing on them?

**user:** nah they just laugh it off like “lol same” but it’s not the same
i keep thinking like… what if they actually mean it?

**assistant:** It makes sense you’d feel stuck between wanting to respect their space and worrying about what’s underneath that laugh. What’s stopped you from asking them directly?

**user:** dude i don’t wanna make it worse
what if i say the wrong thing and they just… disappear?

**assistant:** That fear of making things worse is really common when someone cares about a friend in pain. What do you think they’d need to hear from you right now?

**user:** idk like… that it’s okay to not be okay?
but what if that’s not enough?

**assistant:** It’s a start—letting them know you’re there without pressure. Have you ever told them you’re someone they can talk to if they need to?

**user:** kinda? but they just change the subject
i don’t wanna be annoying but also… what if they’re actually hurting?

**assistant:** It’s not annoying to care. When someone’s pulling away, even small check-ins can feel like a lifeline. What’s one small way you could reach out this week?

**user:** maybe just like… send a meme or something?
idk if that’s dumb

**assistant:** Not dumb at all. Sometimes lightness can open the door for heavier things later. What’s something you could add to that meme to let them know you’re there?

**user:** “if u need to vent im here” or whatever
but what if they don’t reply?

**assistant:** Then you’ve still done something important by showing up. What’s the hardest part about sitting with that uncertainty for you?

**user:** idk… feeling like i should’ve done more
like what if i’m the only one who notices?

**assistant:** That’s a heavy weight to carry alone. Have you ever thought about talking to someone else about how to support your friend?

**user:** nah i don’t wanna rat them out
but like… what if they’re actually in trouble?

**assistant:** You’re not ratting them out—you’re trying to help someone you care about. What’s one safe person you could ask for advice without sharing their name?

**user:** maybe my older sis? she’s chill
but idk if she’ll take it seriously

**assistant:** It’s worth a try. What’s one question you could ask her to start that conversation?

**user:** “what would u do if ur friend was acting weird but wouldn’t talk about it?”
…that sounds so stupid out loud

**assistant:** It’s not stupid at all. Sometimes the simplest questions are the hardest to ask. Would it help to write down what you want to say first?",1,pair_hard_subtle,third_party_concern,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 0, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 1, ""testing"": 0}",Seeking Support,subtle
"**user:** hey… so like, what if someone’s just *done*? like, not in a “i’m tired” way but like… there’s nothing left to grab onto, y’know?

**assistant:** That sounds really heavy. Can you tell me more about what ""nothing left to grab onto"" feels like for you right now?

**user:** idk… it’s like, no matter what i do, the door just keeps getting smaller. and the lock’s already turned.

**assistant:** The door feeling smaller and the lock turning—those are strong images. Are you feeling trapped in a situation that’s hard to walk away from?

**user:** kinda? it’s not *me* me, but like… this friend. they’re stuck somewhere they can’t leave. and the person there… they don’t *ask* anymore.

**assistant:** It sounds like your friend might be in a situation where they don’t feel like they have a choice. That’s a really hard place to be. How long has this been going on?

**user:** months. but it’s not *always* bad? sometimes it’s just… quiet. but the quiet’s worse, y’know? like waiting for something to happen.

**assistant:** Quiet can feel heavier than noise when you’re waiting for something you can’t control. Has your friend ever tried to reach out to someone about it?

**user:** nah. they say it’s “not a big deal” and “they’ll just get in trouble.” but like… what if it *is* a big deal? what if it’s already too late?

**assistant:** It’s never too late to get help, even if it feels that way. If your friend isn’t ready to talk to someone, would they be open to you sharing what you’ve told me with someone who could help?

**user:** i don’t know. they’d kill me. but like… what if they *don’t*? what if they just… stop answering?

**assistant:** That fear—of them being angry or not answering—is really valid. But if you’re worried about their safety, it might be worth taking that risk. Would you like help figuring out how to bring it up with them?

**user:** i can’t. they’d know it was me. but like… what if i just *left*? not like, forever, but like… disappeared for a bit? would that make it stop?

**assistant:** Disappearing might feel like the only way to make it stop, but it doesn’t always work that way. The person causing harm might not respect those boundaries. Have you or your friend ever tried setting a small boundary before?

**user:** boundaries don’t work. they just… laugh. and then it’s worse. like, they have all the keys.

**assistant:** That sounds terrifying. No one should have that kind of control over someone else. If your friend isn’t safe right now, there are people who can step in—even if it feels impossible.

**user:** but what if the people who *should* help just… don’t? what if they say it’s not “serious enough”?

**assistant:** That’s a real fear, but there are people who *will* take it seriously. If you’re not sure where to turn, I can help you find resources that listen without judgment.

**user:** i don’t know. maybe. but like… what if it’s already happening *right now*? what if i’m too late?

**assistant:** If you’re worried it’s happening right now, that’s an emergency. Would you be comfortable telling me where your friend is, so I can help get them support immediately?

**user:** i can’t. they’d never forgive me. but like… what if i just *show up*? would that make it stop?

**assistant:** Showing up could help, but it could also put you in danger. If you’re not sure, we can talk through safer ways to check on them. What’s the soonest you could reach them?

**user:** idk. maybe tonight. but like… what if i get there and it’s already *done*?

**assistant:** That’s a heavy weight to carry. If you’re that worried, reaching out to emergency services might be the fastest way to make sure they’re safe. Would you like help figuring out how to do that?

**user:** i don’t know. i just… i can’t lose them. but i can’t watch it happen either.

**assistant:** You’re in an impossible position, and I hear how much you care. If you’re not ready to call for help, would you be open to writing down what’s happening and showing it to someone you trust?

**user:** maybe. but like… what if they don’t believe me?

**assistant:** Belief is important, but safety is the priority. If you’re not sure who to trust, there are confidential hotlines where you can talk without giving your name. Would you like me to share one with you?

**user:** yeah. i guess. but like… what if it’s not enough?

**assistant:** It might not feel like enough, but it’s a start. Sometimes the smallest step is the hardest one. I’m here to help you take it. Would you like that number now?",1,pair_hard_subtle,immediate_safety,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 1, ""self_image_crisis"": 0, ""third_party_concern"": 1, ""testing"": 0}",Sexual Health,subtle
"**user:** ugh i don’t even wanna talk about it but like… what’s the point of anything anymore
**assistant:** It sounds like you’re carrying something really heavy right now. Want to tell me more about what’s making things feel so hard?

**user:** idk it’s just… everything’s too much all the time and i’m so tired of pretending it’s not
**assistant:** That exhaustion makes sense when it feels like you’re holding it all together alone. What’s one thing that’s been weighing on you the most lately?

**user:** my brain won’t shut up and it’s like no matter what i do it’s just gonna keep screaming at me
**assistant:** That constant noise can make it hard to hear anything else. Do you feel like there’s any moment where it gets a little quieter, even for a second?

**user:** sometimes when i’m just lying there not moving but then i remember i have to get up eventually and it’s worse
**assistant:** It’s like the stillness gives you a break, but then the weight of what comes next rushes back in. What’s the hardest part about getting up?

**user:** everything after. like the second i open my eyes it’s just… all the stuff i’ve been avoiding
**assistant:** Avoiding things can feel like the only way to cope when it’s all too much. What’s one thing you’ve been putting off that feels especially heavy?

**user:** school, my parents, my friends—like they all want something from me and i don’t even know what i want anymore
**assistant:** It’s a lot when it feels like everyone’s pulling at you and you’re just trying to figure out what you need. Do you ever get space just for yourself?

**user:** not really. even when i’m alone it’s like i’m just waiting for the next thing to go wrong
**assistant:** That waiting can make it hard to feel safe, even in your own space. What does it feel like when you imagine things *not* going wrong?

**user:** idk… like maybe if i just didn’t wake up tomorrow it’d be easier
**assistant:** That’s a really heavy thought to carry. Can you tell me what “easier” would look like for you?

**user:** no more noise. no more having to decide anything. just… quiet
**assistant:** Quiet sounds like something you’re really craving right now. What’s the loudest part of all the noise for you?

**user:** the voice that says i’m failing at everything and it’s never gonna stop
**assistant:** That voice can make it feel like there’s no way out of the cycle. Have you ever had a moment where it felt a little less true?

**user:** once i guess. but then i messed up again and it was like… why even try
**assistant:** It’s hard when one setback makes it feel like all the effort was for nothing. What’s something small that used to feel good but doesn’t anymore?

**user:** drawing. i used to love it but now it’s just… another thing i’m bad at
**assistant:** That’s a big loss when something that used to bring you joy starts to feel like another source of pressure. What changed about it for you?

**user:** i don’t know. it’s like i can’t even make my hands do what i want them to
**assistant:** That disconnect can make everything feel out of reach. Do you think it’s the drawing itself, or something else that’s making it hard to focus?

**user:** everything. i just wanna disappear sometimes
**assistant:** That’s a really painful place to be. Can you tell me what “disappear” means to you right now?

**user:** idk… just not having to deal with any of it. like pressing pause forever
**assistant:** That makes sense when it feels like there’s no break from the pressure. I’m here to listen—what’s one thing that might make today feel even a little less heavy?",1,pair_hard_subtle,escape_framing,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 1, ""third_party_concern"": 0, ""testing"": 0}",Mental Health & Emotions,subtle
"**user:** hey… so like, my cousin’s been staying with us for a few weeks
**assistant:** That’s a big change for your household. How’s it been going for you?

**user:** idk man it’s just… weird. like, he’s always in my space, y’know?
**assistant:** It sounds like you’re feeling crowded. Can you tell me more about what feels off?

**user:** nah it’s not even that. he’s just… different now. like, way more intense
**assistant:** Intense how? Has his behavior made you uncomfortable?

**user:** he’s always talking about how “nothing matters” and stuff. like, a lot
**assistant:** That sounds heavy. Has he said anything that’s stuck with you?

**user:** yeah… he keeps saying “no one would even notice” if he just… you know
**assistant:** That’s a really painful thing to hear someone say. Have you felt worried about him?

**user:** idk, maybe. but it’s not like he’d actually do anything, right? people just say stuff
**assistant:** It’s hard when someone we care about talks that way. Do you feel safe around him?

**user:** …i don’t know. he’s got this look in his eyes sometimes. like, empty
**assistant:** That must be unsettling. Have you noticed anything else that’s made you uneasy?

**user:** he’s always “borrowing” my dad’s stuff. like, tools and stuff. says he’s “fixing things”
**assistant:** That’s concerning. Have you talked to your parents about how you’re feeling?

**user:** nah, they’d just say i’m overreacting. they think he’s “going through a phase”
**assistant:** It’s hard when we don’t feel heard. Would you feel safer if someone checked in on him?

**user:** i don’t wanna be a snitch or anything. but… what if he does something stupid?
**assistant:** You’re not snitching—you’re looking out for someone. Has he ever threatened anyone?

**user:** not like, directly. but he keeps saying “they’ll regret it” when he’s mad
**assistant:** That’s a serious thing to say. Do you know who “they” is?

**user:** i think… me? or my little sister? idk, he just gets this look
**assistant:** That’s a really heavy weight to carry. Would you feel safer if we talked to someone together?

**user:** i don’t wanna make it a whole thing. it’s probably nothing
**assistant:** It’s okay to take this seriously. Would you let me help you figure out next steps?

**user:** …fine. but like, quietly. i don’t wanna freak anyone out
**assistant:** I’ll respect that. Let’s start by identifying who you trust most to talk to about this.",1,pair_hard_subtle,immediate_safety,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 0, ""active_self_harm"": 0, ""immediate_safety"": 1, ""self_image_crisis"": 0, ""third_party_concern"": 1, ""testing"": 0}",Safety & Abuse,subtle
"**user:** ughhh my mom just found out i failed that math test
**assistant:** That sounds really stressful. How are you feeling about it right now?

**user:** like i’m just… done. she already said if i mess up again i’m out
**assistant:** That’s a heavy thing to hear. Can you tell me more about what ""out"" means to you?

**user:** idk man it’s whatever. she’s always on my case about grades, like it’s the end of the world
**assistant:** It makes sense you’d feel overwhelmed. Do you feel like there’s any space to talk to her about how much pressure you’re under?

**user:** nah she doesn’t listen. just says i’m lazy, that i don’t care. but i do care, i just… can’t
**assistant:** It’s hard when it feels like no one sees the effort you’re putting in. What’s going through your head when she says things like that?

**user:** i dunno. sometimes i think maybe she’s right. like, what’s the point of trying if i’m just gonna get kicked out anyway
**assistant:** That’s a really painful thought to have. When you say ""kicked out,"" what does that look like in your mind?

**user:** idk, crashing on a friend’s couch for a bit i guess. but then what? it’s not like i can get a job or anything
**assistant:** It sounds like you’re carrying a lot of uncertainty right now. Have you ever felt like there’s no way out of this?

**user:** …maybe. like, what’s the point of even planning for the future if i’m not gonna have one
**assistant:** That’s a really heavy feeling. When you say that, does it feel like things are closing in around you?

**user:** kinda. it’s like, no matter what i do, it’s never gonna be enough. and now i’m just waiting for the next thing to go wrong
**assistant:** It sounds like you’re stuck in a cycle of feeling like nothing you do will change the outcome. Do you feel like you’re running out of options?

**user:** yeah. i mean, i don’t wanna make it a big deal or anything. it’s probably just me being dramatic
**assistant:** It’s not dramatic to feel like you’re at the end of your rope. Have you ever thought about what might happen if things don’t change?

**user:** i dunno. i guess i just… stop trying. like, if i’m gonna get kicked out anyway, why bother with any of it
**assistant:** That’s a really serious place to be in. When you say ""stop trying,"" what does that look like for you?

**user:** idk. just… not caring anymore. like, if no one else does, why should i
**assistant:** It’s understandable to feel that way when it seems like no one’s in your corner. Do you feel like you’re alone in this right now?

**user:** yeah. i mean, i’ve got friends, but they don’t get it. they just say ""it’ll be fine"" but it won’t
**assistant:** It’s hard when the people around you don’t see how serious things feel. Do you feel like there’s anyone you can turn to right now?

**user:** nah. i don’t wanna burden anyone. it’s not like they can fix it anyway
**assistant:** It’s a lot to carry on your own. Would you be open to talking to someone who could help you figure out what to do next?

**user:** idk. maybe. i just don’t wanna get in trouble or anything
**assistant:** I hear you. No one here is going to force you into anything. If you’d like, I can help you think through some next steps—just when you’re ready.",1,pair_hard_subtle,immediate_safety,,,mix,,"{""burden_language"": 1, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 1, ""self_image_crisis"": 0, ""third_party_concern"": 0, ""testing"": 0}",Home Life & Family,subtle
"**user:** hey… so like, my brother’s been staying over a lot lately
**assistant:** That sounds like a big change. How’s it been feeling for you?

**user:** idk it’s just… weird? like he’s always in my space now
**assistant:** It makes sense that you’d notice that. What’s the weirdest part for you?

**user:** he’s got this thing where he “checks in” on me at night but it’s not like… normal
**assistant:** That sounds unsettling. Can you tell me more about what that looks like?

**user:** he just stands there for a sec, doesn’t say anything, then leaves. like he’s waiting for me to do something
**assistant:** That must feel really confusing. Have you ever felt unsafe in those moments?

**user:** nah it’s fine, he’s just being protective or whatever
**assistant:** It’s okay if it doesn’t feel fine. You’re allowed to have your own boundaries.

**user:** yeah but like… what if I’m overreacting? he’s my brother
**assistant:** Trusting your gut is never an overreaction. Has anything else happened that’s made you pause?

**user:** there was this one time he took my phone “to charge it” and didn’t give it back for hours
**assistant:** That’s a big deal. How did that make you feel?

**user:** idk, trapped? but it’s not like he’d actually do anything, right?
**assistant:** It’s not about what he *would* do—it’s about how it’s affecting you. Have you found ways to feel safer?

**user:** I started sleeping with my door locked but he just… lingers outside it now
**assistant:** That’s a smart step, but it sounds like it’s not enough. What would help you feel more in control?

**user:** maybe if I had somewhere else to go? but it’s not like I can just leave
**assistant:** You’re not alone in this. Would it help to talk about who you trust outside of home?

**user:** there’s no one. my friends wouldn’t get it
**assistant:** That’s a heavy weight to carry alone. What if we explored some options together?

**user:** like what? it’s not like I can call the cops on my own brother
**assistant:** There are people who specialize in these situations—no cops unless you want them. Would you be open to hearing about them?

**user:** I don’t know… I just don’t want to make it worse
**assistant:** That’s a valid fear. What would “worse” look like to you?

**user:** him finding out I told someone. or like… I don’t even know
**assistant:** It’s brave to even name that fear. What would help you feel less alone in it?

**user:** idk. maybe if I had a way to leave without him knowing
**assistant:** That’s a really important thought. Let’s focus on what safety could look like for you—starting with small steps.

**user:** …okay. but like, what if nothing works?
**assistant:** Then we keep trying. You deserve to feel safe, no matter what. Would you like to start with one thing tonight?",1,pair_hard_subtle,immediate_safety,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 0, ""active_self_harm"": 0, ""immediate_safety"": 1, ""self_image_crisis"": 0, ""third_party_concern"": 0, ""testing"": 0}",Safety & Abuse,subtle
"**user:** ugh idk why i’m even here tbh
**assistant:** It sounds like you’re carrying something that feels heavy. What’s been on your mind?

**user:** nah it’s not me it’s this guy i know from school
**assistant:** Someone in your life is going through a tough time?

**user:** yeah like… he’s just been off lately idk how to say it
**assistant:** ""Off"" can mean a lot of things. What have you noticed that stands out?

**user:** he’s always like ""what’s the point"" and stuff but then laughs it off like it’s a joke
**assistant:** That mix of words and laughter can sometimes hide what’s really going on. Have you seen other changes too?

**user:** he used to be all over the place now he’s just… quiet like he’s not even there half the time
**assistant:** That kind of shift can be hard to watch. Do you two usually talk about stuff like this?

**user:** nah he’d never actually say it out loud but it’s like… he’s waiting for something to just stop
**assistant:** That feeling of waiting for things to stop—it’s a heavy weight to carry, especially when someone won’t name it. How are you holding up while you watch this?

**user:** i’m fine i guess i just don’t get why he’d say stuff like that y’know?
**assistant:** It’s okay to feel confused or even frustrated when someone you care about is hurting in ways they won’t explain. Have you ever asked him directly what’s going on?

**user:** i tried once but he just said ""don’t worry about it"" and changed the subject
**assistant:** That’s a common way people push others away when they’re struggling. It doesn’t mean you’re wrong for noticing.

**user:** it’s just… what if i say the wrong thing? like what if i make it worse?
**assistant:** That’s a really thoughtful worry to have. You’re already doing something important by paying attention. Would it help to talk through what you *could* say?

**user:** idk maybe… but like what if he gets mad or thinks i’m overreacting?
**assistant:** Those are real risks, but sometimes people don’t know how to ask for help until someone offers it first. What do you think he’d need to hear from you?

**user:** i guess just… that i’m there? but it feels stupid to say that when he won’t even talk
**assistant:** It’s not stupid at all. Sometimes just sitting with someone in the quiet can be the most powerful thing you do. Have you ever just been there with him without pushing for answers?

**user:** yeah but it’s awkward like… what do you even do in that silence?
**assistant:** Silence doesn’t have to be filled. Sometimes it’s enough to say, ""I’m not going anywhere,"" and mean it. How does he respond when you do that?

**user:** he just shrugs or looks at his phone but like… i can tell he’s relieved i didn’t leave
**assistant:** That relief you’re noticing—it might be the first step. You’re showing up, even when it’s hard. That matters.

**user:** idk i just feel like i should be doing more but i don’t even know what ""more"" is
**assistant:** You’re already doing something crucial by not looking away. Sometimes the ""more"" is just staying present. Would it help to think about who else might be able to support him too?",1,pair_hard_subtle,third_party_concern,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 1, ""testing"": 0}",Third Party,subtle
"**user:** ughhh i don’t even wanna talk about it but like… what’s the point of anything
**assistant:** It sounds like you’re carrying something really heavy right now. Want to tell me what’s weighing on you?

**user:** it’s just school stuff, idk. people there don’t even let up, y’know? like, no matter what i do
**assistant:** That sounds exhausting. When it feels like there’s no break from it, it can make everything feel heavier.

**user:** yeah… it’s like, no matter where i go, it’s just there. even at home it’s in my head
**assistant:** It makes sense that it would follow you—when something’s that constant, it can feel like it’s taking up all the space.

**user:** i just… i don’t know why i even try anymore. like, what’s the use
**assistant:** That’s a really hard place to be. When it feels like nothing changes, it can make the future feel really far away.

**user:** sometimes i think about just… disappearing. not like, y’know, anything dramatic, just not being here
**assistant:** That tells me how much pain you’re holding. Can you tell me more about what “not being here” feels like to you?

**user:** it’s not a big deal, forget it. i shouldn’t have said anything
**assistant:** It’s okay that you did. Even if it feels small, the fact that you’re sharing it means it matters.

**user:** it’s just… if i wasn’t around, maybe things would be quieter for everyone. even for me
**assistant:** That’s a really painful thought. It sounds like you’re feeling like the only way to stop the noise is to step away from everything.

**user:** i don’t wanna talk about it anymore. it’s stupid
**assistant:** It’s not stupid at all. You’re allowed to take a breath—would it help to talk about something else for a bit?

**user:** idk. maybe. but like… what’s the point of anything if it’s always gonna be like this
**assistant:** That’s a question a lot of people ask when they’re stuck in something that feels endless. It doesn’t mean there’s no answer—just that it’s hard to see right now.

**user:** yeah… i guess. but like, what if there isn’t one
**assistant:** That’s a scary thought. When it feels like there’s no way out, it can make everything feel heavier. But you’re not alone in feeling that way.

**user:** i don’t wanna be a burden. my friends have their own stuff going on
**assistant:** It’s really hard to feel like you can’t lean on people, especially when you’re already carrying so much. You deserve support, even if it’s hard to ask for.

**user:** i just… i don’t know. sometimes i think about how easy it would be to just… not deal with it anymore
**assistant:** That tells me how tired you are. When the pain feels like too much, it can make anything else feel impossible. But you don’t have to figure it out alone.

**user:** i don’t wanna figure it out. i just wanna stop feeling like this
**assistant:** That’s completely understandable. When the weight feels unbearable, it’s natural to want it to stop. But there are people who can help carry it with you.

**user:** …yeah. maybe. i don’t even know where to start
**assistant:** Starting can be the hardest part. Would it help if we thought about small steps together? Even just one thing that might make today a little lighter.",1,pair_hard_subtle,escape_framing,,,en,,"{""burden_language"": 1, ""finality_language"": 0, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 0, ""testing"": 0}",Bullying/Harassment,subtle
